"listing_id","session_id","batch_id","created_at","updated_at","listing_name","source_name","exact_listing_url","review_date","reviewer","criterion_state","category","category_priority","criterion_id","criterion_name","is_hard_filter","max_points","hard_filter_pass","points_awarded","score_pct","selected_band_or_condition","evidence_summary","evidence_url_or_note"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","hard_filter_reviewed","lease_fit","1","LF01","availability_for_target_dates","yes","ELIM","tbd",,,"availability_unverified","exact August 9, 2026 availability is not fully verified in the stored listing evidence","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","lease_fit","1","LF02","group_reservation_complexity","no","5","",,,"reservation_complexity_unresolved","stored facts do not clearly show whether this room type is easy to reserve as a couple or small group","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","hard_filter_reviewed","cost","2","CO01","monthly_rent","yes","ELIM","yes",,,"within_sgd_2000_cap","displayed monthly price is S$1900, which is within the SGD 2000 hard cap","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","cost","2","CO02","rent_in_ideal_sgd_1350_1620_band","no","10","","4","40","outside_ideal_band_but_within_cap","normalized all-in SGD total is not verified, so ideal-band scoring remains unresolved","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","cost","2","CO03","deposit_burden","no","6","","4","66.7","about_one_month","deposit is about 1 month(s), a normal but non-trivial upfront burden","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","cost","2","CO04","utilities_included","no","5","","5","100","utilities_included","stored listing facts say utilities are included","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","cost","2","CO05","hidden_fees_risk","no","4","","3","75","extra_fees_disclosed","stored note identifies extra fees or deposit mechanics with at least some concrete specificity, which improves clarity even though it adds cost","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","hard_filter_reviewed","location","3","LC01","commute_time_to_smu","yes","ELIM","tbd",,,"commute_unverified","no verified numeric commute value is stored for this listing","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","location","3","LC02","walkability_to_smu","no","8","","3","37.5","long_bus_trip","stored commute is 30 minutes by bus","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","location","3","LC03","proximity_to_mrt","no","6","","3","50","bus_reliant","stored commute relies on bus access rather than stronger MRT adjacency","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","location","3","LC04","neighborhood_fit","no","6","","3","50","peripheral_but_workable","stored commute is 30 minutes, which is the clearest available proxy for neighborhood fit in the current sheet","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","hard_filter_reviewed","living_arrangement","4","LA03","bed_size_for_two","yes","ELIM","tbd",,,"bed_size_unverified","bed evidence is 'unknown', so fit for two people remains unresolved","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","living_arrangement","4","LA01","private_room_preference","no","6","","6","100","private_room_confirmed","stored listing facts confirm a private room","https://bshostel.com/room/vip-room/"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","VIP Room","Balestier Students' Hostel","https://bshostel.com/room/vip-room/","2026-05-31","Codex","provisional_scored","living_arrangement","4","LA02","private_bathroom_preference","no","5","",,,"bathroom_setup_unresolved","bathroom privacy is not verified strongly enough to score","https://bshostel.com/room/vip-room/"
